书名,作者,出版社,出版时间,价格,评分,评分人数,短评
红楼梦,[清] 曹雪芹 著,人民文学出版社,1996年12月,59.7,9.6,304732,都云作者痴，谁解其中味？
活着,余华,作家出版社,2012年8月,20,9.4,531926,生的苦难与伟大
1984,[英] 乔治·奥威尔,北京十月文艺出版社,2010年4月,28,9.3,159659,栗树荫下，我出卖你，你出卖我
百年孤独,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2020年6月,39.5,9.2,308389,魔幻现实主义文学代表作
飘,[美国] 玛格丽特·米切尔,译林出版社,2000年9月,40,9.3,164974,革命时期的爱情，随风而逝
三体全集,刘慈欣,重庆出版社,2012年1月,168,9.4,62730,地球往事三部曲
三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998年5月,39.5,9.3,127992,是非成败转头空
房思琪的初恋乐园,林奕含,北京联合出版公司,2020年1月,45,9.2,210564,向死而生的文学绝唱
白夜行,[日] 东野圭吾,南海出版公司,2013年1月,39.5,9.1,297372,一宗离奇命案牵出跨度近20年步步惊心的故事
动物农场,[英] 乔治·奥威尔,上海译文出版社,2020年3月,10,9.2,98493,太阳底下并无新事
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,群众出版社,1981年8月,68,9.3,96129,名侦探的代名词
小王子,[法] 圣埃克苏佩里,人民文学出版社,2020年8月,22,9,599343,献给长成了大人的孩子们
天龙八部,金庸,生活.读书.新知三联书店,1994年5月,96,9.1,106150,有情皆孽，无人不冤
撒哈拉的故事,三毛,哈尔滨出版社,2020年8月,15.8,9.2,91891,游荡的自由灵魂
安徒生童话故事集,（丹麦）安徒生,人民文学出版社,1997年8月,25,9.2,93859,为了争取未来的一代
哈利•波特,J.K.罗琳 (J.K.Rowling),人民文学出版社,2008年12月,498,9.7,30263,从9¾站台开始的旅程
冰与火之歌（卷一）,[美] 乔治·R. R. 马丁,重庆出版社,2020年5月,68,9.3,32798,凛冬将至。无比宏大的世界观
沉默的大多数,王小波,中国青年出版社,1997年10月,27,9.1,106531,沉默是沉默者的通行证
人类简史,[以色列] 尤瓦尔·赫拉利,中信出版社,2020年11月,68,9.1,138771,跟着人类一同走过十万年
围城,钱锺书,人民文学出版社,1991年2月,19,8.9,383576,幽默的语言和对生活深刻的观察
杀死一只知更鸟,[美] 哈珀·李,译林出版社,2020年9月,32,9.2,84850,有一种东西不能遵循从众原则，那就是——人的良心
平凡的世界（全三部）,路遥,人民文学出版社,2020年1月,64,9,260792,中国当代城乡生活全景
局外人,[法] 阿尔贝·加缪,上海译文出版社,2020年8月,22,9,140416,人生在世，永远也不该演戏作假
明朝那些事儿（1-9）,当年明月,中国海关出版社,2020年4月,358.2,9.1,96753,不拘一格的历史书写
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012年9月,39.5,9,193843,义无反顾地直达爱情的核心
笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,1994年5月,76.8,9,91142,欲练此功，必先自宫
月亮和六便士,[英] 毛姆,上海译文出版社,2020年8月,15,9,146214,有多少人会经历顿悟，就有更少的人甘愿自我放逐
中国历代政治得失,钱穆,生活·读书·新知三联书店,1905年6月,12,9.2,45540,一部简明的“中国政治制度史”
肖申克的救赎,[美] 斯蒂芬·金,人民文学出版社,2020年7月,29.9,9.1,89430,豆瓣电影Top1原著
基督山伯爵,大仲马,上海译文出版社,1991年12月,43.9,9,104424,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
东方快车谋杀案,[英] 阿加莎·克里斯蒂,人民文学出版社,2020年5月,18,9,101914,谋杀诡计惊人，波洛的抉择耐人寻味
万历十五年,[美] 黄仁宇,生活·读书·新知三联书店,1997年5月,18,8.9,149741,见微知著，历史观的颠覆
追风筝的人,[美] 卡勒德·胡赛尼,上海人民出版社,2020年5月,29,8.9,664064,为你，千千万万遍
新名字的故事,[意] 埃莱娜·费兰特,人民文学出版社,2020年4月,59,9,48969,探索青年时代的激情、困惑、挣扎、背叛和失去
失踪的孩子,[意] 埃莱娜·费兰特,人民文学出版社,2020年7月,62,9.1,39157,我的整个生命，只是一场为了提升社会地位的低俗斗争。
江城,[美] 彼得·海斯勒,上海译文出版社,2020年1月,36,9.1,39596,外国人眼中的涪陵
呐喊,鲁迅,人民文学出版社,1973年3月,0.36,9,102842,新文学的第一声呐喊
嫌疑人X的献身,[日] 东野圭吾,南海出版公司,2020年9月,28,8.9,426449,数学好是一种极致的浪漫
刀锋,[英]毛姆,上海译文出版社,2020年3月,18,9,58053,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
乡土中国,费孝通,上海人民出版社,2020年4月,38,9.2,40825,中国乡土社会传统文化和社会结构理论研究代表作
寻路中国,[美] 彼得·海斯勒,上海译文出版社,2020年1月,33,9,42929,《纽约客》驻北京记者驾车漫游中国大陆的经历
城南旧事,林海音 文,中国青年出版社,2020年7月,16,9,107258,长亭外，古道边，芳草碧连天
射雕英雄传（全四册）,金庸,生活·读书·新知三联书店,1999年4月,47,9,67029,侠之大者，为国为民
我与地坛,史铁生,春风文艺出版社,2020年5月,25,9.1,63418,这是你的罪孽与福祉
白鹿原,陈忠实,人民文学出版社,2020年9月,39,9.2,52431,一轴关于我们民族灵魂的现实主义画卷
傲慢与偏见,[英] 奥斯丁,人民文学出版社,1993年7月,13,8.9,192670,所有现代言情小说的母体
黄金时代,王小波,花城出版社,1999年3月,19,8.9,128576,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
格林童话全集,[德国]格林兄弟,人民文学出版社,1994年11月,21.45,9,72740,一本有教育意义的书
无人生还,[英] 阿加莎・克里斯蒂,人民文学出版社,2020年3月,19,8.9,104284,童谣杀人案
文学回忆录,木心 口述,广西师范大学出版社,2013年1月,98,9.1,35338,木心留给世界的礼物
历史深处的忧虑,林达,生活·读书·新知三联书店,1997年5月,19,9,37494,窥见美国社会的一扇窗
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),广西美术出版社,2020年4月,280,9.6,16128,从最早的洞窟绘画到当今的实验艺术
神雕侠侣,金庸,生活·读书·新知三联书店,1994年5月,76.8,8.9,82555,至情至性，情大于武
悲惨世界（上中下）,[法] 雨果,人民文学出版社,1992年6月,66,9,51715,现实主义与浪漫主义的至高杰作
上帝掷骰子吗,曹天元,辽宁教育出版社,2020年1月,32,9.2,24125,量子物理史话
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基,上海译文出版社,2020年8月,25,9.4,16155,错综复杂的社会、家庭矛盾和人性悲剧
许三观卖血记,余华,南海出版公司,1998年9月,16.8,8.8,198156,以博大的温情描绘磨难中的人生
史记（全十册）,司马迁,中华书局,1982年11月,125,9.5,17772,史家之绝唱，无韵之离骚
树上的男爵,[意] 伊塔洛·卡尔维诺,译林出版社,2012年4月,30,9.1,25976,是不是真的只有先与人疏离，才能最终与他们在一起？
哭泣的骆驼,三毛,哈尔滨出版社,2020年6月,15.8,8.9,46312,沙漠中寻常的生与死
看见,柴静,广西师范大学出版社,2013年1月,39.8,8.8,283968,在这里看见中国
邓小平时代,[美] 傅高义,生活·读书·新知三联书店,2020年1月,88,9.2,31935,个人命运背后的历史变局
灿烂千阳,[美] 卡勒德·胡赛尼,上海人民出版社,2020年9月,28,8.8,93822,唯有希望与爱可以驱散阴霾
浪潮之巅,吴军,电子工业出版社,2020年8月,55,9,27352,了解IT领域的入门读物
台北人,白先勇,广西师范大学出版社,2020年10月,38,8.9,38454,白先勇短篇小说集
诗经,孔丘 编订,北京出版社,2020年7月,19.9,9.4,18839,思无邪
人间词话,王国维,上海古籍出版社,1998年12月,9.8,9,41927,以新眼光评旧文学
西游记（全二册）,吴承恩,人民文学出版社,2020年8月,47.2,8.9,61846,神魔皆有人情，精魅亦通世故
永恒的终结,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014年9月,32,9,25418,关于时间旅行的终极奥秘和恢宏构想
窗边的小豆豆,[日] 黑柳彻子 著,南海出版公司,2020年1月,20,8.7,164564,真正懂孩子的教育经
悉达多,[德] 赫尔曼·黑塞,上海人民出版社,2020年3月,20,9,27615,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2020年12月,35,9,37679,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
爱你就像爱生命,王小波,上海锦绣文章出版社,2020年5月,18,8.8,88068,王小波与李银河的两地书
我们仨,杨绛,生活·读书·新知三联书店,2020年7月,18.8,8.7,248109,家庭生活回忆录
最好的告别,[美] 阿图·葛文德（Atul Gawande）,浙江人民出版社,2015年7月,54.9,9,27173,关于衰老与死亡，你必须知道的常识
道德经,黄元吉,陕西人民出版社,1996年10月,4.5,9.4,13311,中国历史上首部完整的哲学著作
呼兰河传,萧红,百花文艺出版社,2020年1月,19,8.9,58191,萧红的童年往事
巨人的陨落,[英] 肯·福莱特,江苏凤凰文艺出版社,2016年5月,129.8,8.9,68602,五个家族，一场战争
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗,南海出版公司,2019年10月,59,8.8,75764,我来自一个极少有人能想象的家庭，教育给了我新世界
朝花夕拾,鲁迅,人民文学出版社,1972年4月,0.25,8.9,98274,在纷扰中寻出一点闲静
海子的诗,海子,人民文学出版社,1999年4月,15.4,8.9,34881,
这些人，那些事,吴念真,译林出版社,2020年9月,28,8.8,57301,平淡叙述下的惊心动魄
教父,[美]马里奥·普佐,译林出版社,1997年8月,23.3,9,32766,“教父三部曲”电影原著
唐诗三百首,蘅塘退士,中华书局,1998年1月,0.65,9.4,15945,熟读唐诗三百首，不会吟诗也会吟
罗杰疑案,[英] 阿加莎·克里斯蒂,新星出版社,2020年3月,28,9.2,21347,
飞鸟集,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,2020年6月,16.8,8.9,52480,一个淡泊清透的世界
看不见的城市,[意大利]伊塔洛·卡尔维诺,译林出版社,2020年8月,16,8.8,34693,每一座城市都只在想象中耸立，又在描述中坍圮
鼠疫,(法)阿尔贝·加缪,上海译文出版社,2020年8月,34,9,27336,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
斯通纳,[美] 约翰·威廉斯,上海人民出版社,2020年1月,49,8.8,35476,即使不能拥有完美的生活，所幸追求过完整的自我
鹿鼎记（全五册）,金庸,广州出版社 花城出版社,2020年3月,108,8.8,46735,武侠的解构，流氓的狂欢
人生的枷锁,[英] 毛姆,上海译文出版社,2020年3月,32,9,21311,在混沌纷扰的生活漩流中，寻求人生的真谛
边城,沈从文,北岳文艺出版社,2020年4月,12,8.7,185148,一切充满了善，然而到处是不凑巧
梦里花落知多少,三毛,北京十月文艺出版社,2020年6月,28,8.8,79188,哀而不伤
叫魂,[美] 孔飞力,生活·读书·新知三联书店 上海三联书店,2020年5月,38,9,20705,1768年中国妖术大恐慌
金色梦乡,[日] 伊坂幸太郎,译林出版社,2020年9月,35,9,19914,伊坂幸太郎代表作
时间简史,[英] 史蒂芬·霍金,湖南科学技术出版社,2020年4月,45,8.8,48589,探索时间和空间的核心秘密
冬牧场,李娟,新星出版社,2020年6月,29.8,9,18980,阿勒泰的精灵
王尔德童话,[英] 王尔德,译林出版社,2020年6月,6,9.1,16960,一颗纯美纯善、永难泯灭的童心
陆犯焉识,严歌苓,作家出版社,2020年10月,35,8.8,45815,翻手为苍凉，覆手为繁华
