昵称,星级,有用,评论
偷蜂蜜的女孩,4,9234,可能如果你抱着《哪吒》的心态去看姜子牙要失望了，姜子牙的格局要大至少两个梯度，包含苍生与个人、人与神的关系、宿命论等等哲学命题的探讨。相比哪吒没有那么的亲民，也没有那么强的娱乐性。全场基本没有笑点，唯一的笑点反而是最后的彩蛋。姜子牙不是很适合小孩去看，准确的说是一部哲理性的成人动画。
飞侠式拼搏,3,9971,申公豹：“姜子牙，你保护世界，我保护你。”
螢燈嫁昼,4,8318,听导演专访本片是删减后的次成品，想阐释的主题是神需被贬入凡间以人的视角经历苍生，才能明白苍生。此片本质上已是成人动画，甚至有点暗黑恐怖元素。剧本确实与主题撕裂，不知道是否是时长阉割妥协于资本排片的缘故，有种商业与文艺片之间强行掺杂的模糊感！但片中那些对生灵与普罗大众的悲悯情节着实升华了此片的立意！
朝暮雪,3,9087,"制片人：你的新剧本是讲什么的？
编剧：故事发生在美国，州长叫黑帮老大去杀人，他来“剿匪”，事成之后让他做市长。
黑帮老大照做了，结果州长不仅没让他做市长，还把他抓了起来。
黑帮和百姓你争我斗，死伤惨重。
州长制造犯罪，再来制止犯罪，立了大功。
州长命令男主枪毙黑帮老大，男主一旦开枪，州长就会宣布这场犯罪是男主发起的，怕事情败露所以杀黑帮老大灭口。
结果男主没有开枪，还查出了州长的秘密，还要扳倒州长。
这一切都被总统看在眼里，他利用男主除掉了州长，利用完男主就把他打入大牢。
原来，叫黑帮老大去杀人其实是总统的主意，州长只不过是服从命令。
续集我都想好了，男主越狱了，准备曝光总统，最后差点就要成功，但还是失败了。
制片人：把男主改为姜子牙，州长改为师尊，黑帮老大改为九尾妖狐，总统改为师祖，改好了发给我。"
溺死的鱼,4,5227,可以说很惊喜了，没想到用封神的壳拍了一部公路片，更没想到在无比闹腾的哪吒之后，可以拍出一部这么有反叛性的姜子牙。个体与苍生的对立，个人与体制的对抗，系统对人性的束缚，这样的主题在现有的文艺作品中都不算多见，以一部动画电影来呈现就显得更加珍贵。叙事和世界观构建上都有可以更完善的空间，但也能在合格完成任务的同时带来惊喜。当然，和哪吒相比，搞笑的成分少了不少，不知道会不会因此影响票房成绩，但对我个人来说，这部姜子牙是中国动画在大圣和哪吒之后的又一次惊喜进步。
小爱,5,6412,比《哪吒》成熟度高很多，平衡得也更好。天朝终于有了一部高级的3D动画电影了。
LING,3,5656,画面美，剧情。。。
Master Shifu,3,4679,画面不错，剧情牵强
Vivienne,3,3575,谁能想到子牙变耶稣，从此人间无神仙，中国有上帝呢？
把噗,4,3916,在资本与审查的双重夹攻下，中国电影走向颓势不可避免。“国产动画”的异军突起，俨然成为当下中国电影产业最值得分析的现象。它在乱象丛生、资本横流的商业电影夹缝中保留下一份相对纯粹的手工质感和作者特色，将传统文化汇入现代语境，完成极富中国特色的影像文本。
乌鸦火堂,5,3584,4.5星，一人不救何以救苍生？原著中出场最多但最没有存在感的姜子牙，变成了隐忍且执念的魅力大叔，与其说是对故事和人设的颠覆，倒不如说是对原著的解构，姜尚封神后的定位，封神榜里为什么没有九尾狐等等问题都有了答案。如山海经一样的世界观个人是超爱啊，玄鸟异兽与魑魅魍魉共存的北海古战场，是东方古典文化神韵与妖异魔幻的融合，艺术指导加分！四不相太萌，还有一个前所未见的申公豹。最终一战热血激昂，猛男落泪。PS，严肃题材，适合8岁以上观众，彩蛋爽死！
熊太行,2,3963,"《姜子牙》真是个无聊的片子。和哪吒相比，大叔和小狐狸精的组合毫无观众缘，两年来第一次在电影院里睡着。
别跟我提特效，我看的就是IMAX ，多数时间，主角都在和红光打斗。
申公豹不结巴了，变得极其乏味，你看他死的时候知道导演在煽你，但你一点都不想哭。 
看在四不像的面子上给个二星吧。
同样看冰天雪地，我真不如去看一集熊出没。。。。"
